producoes,begin,boolean,boolean1,boolean2,do,else,end,for,function,id,if,integer,intnum,operador,procedure,program,read,relacao,repeat,then,to,until,var,while,write,|,;,:,:=,(,),$
<programa>,,,,,,,,,,,,,,,,program <id> ; <corpo> .,,,,,,,,,,,,,,,,
<corpo>,<declara> <rotina> begin <sentencas> end,,,,,,,,<declara> <rotina> begin <sentencas> end,,,,,,<declara> <rotina> begin <sentencas> end,,,,,,,,<declara> <rotina> begin <sentencas> end,,,,,,,,,
<declara>,#,,,,,,,,#,,,,,,#,,,,,,,,var <dvar> <mais_dc>,,,,,,,,,
<mais_dc>,,,,,,,,,,,,,,,,,,,,,,,,,,,; <cont_dc>,,,,,
<cont_dc>,#,,,,,,,,#,<dvar> <mais_dc>,,,,,#,,,,,,,,,,,,,,,,,
<dvar>,,,,,,,,,,<variaveis> : <tipo_var>,,,,,,,,,,,,,,,,,,,,,,
<tipo_var>,,boolean,,,,,,,,,,integer,,,,,,,,,,,,,,,,,,,,
<variaveis>,,,,,,,,,,<id> <mais_var>,,,,,,,,,,,,,,,,,,,,,,
<mais_var>,,,,,,,,,,,,,,,,,,,,,,,,,,| <variaveis>,,#,,,,
<rotina>,#,,,,,,,,<funcao>,,,,,,<procedimento>,,,,,,,,,,,,,,,,,
<procedimento>,,,,,,,,,,,,,,,procedure <id> <parametros> ; <corpo> ; <rotina>,,,,,,,,,,,,,,,,,
<funcao>,,,,,,,,,function <id> <parametros> : <tipo_funcao> ; <corpo> ; <rotina>,,,,,,,,,,,,,,,,,,,,,,,
<parametros>,,,,,,,,,,,,,,,,,,,,,,,,,,,#,#,,( <lista_parametros> ),,
<lista_parametros>,,,,,,,,,,<lista_id> : <tipo_var> <cont_lista_par>,,,,,,,,,,,,,,,,,,,,,,
<cont_lista_par>,,,,,,,,,,,,,,,,,,,,,,,,,,,; <lista_parametros>,,,,#,
<lista_id>,,,,,,,,,,<id> <cont_lista_id>,,,,,,,,,,,,,,,,,,,,,,
<cont_lista_id>,,,,,,,,,,,,,,,,,,,,,,,,,,| <lista_id>,,#,,,,
<tipo_funcao>,,,,,,,,,,,,integer,,,,,,,,,,,,,,,,,,,,
<sentencas>,,,,,,,,<comando> <mais_sentencas>,,<comando> <mais_sentencas>,<comando> <mais_sentencas>,,,,,,<comando> <mais_sentencas>,,<comando> <mais_sentencas>,,,,,<comando> <mais_sentencas>,<comando> <mais_sentencas>,,,,,,,
<mais_sentencas>,,,,,,,,,,,,,,,,,,,,,,,,,,,; <cont_sentencas>,,,,,
<cont_sentencas>,,,,,,,#,<sentencas>,,<sentencas>,<sentencas>,,,,,,<sentencas>,,<sentencas>,,,#,,<sentencas>,<sentencas>,,,,,,,
<var_read>,,,,,,,,,,<id> <mais_var_read>,,,,,,,,,,,,,,,,,,,,,,
<mais_var_read>,,,,,,,,,,,,,,,,,,,,,,,,,,| <var_read>,,,,,#,
<var_write>,,,,,,,,,,<id> <mais_var_write>,,,,,,,,,,,,,,,,,,,,,,
<mais_var_write>,,,,,,,,,,,,,,,,,,,,,,,,,,| <var_write>,,,,,#,
<comando>,,,,,,,,for <id> := <expressao> to <expressao> do begin <sentencas> end,,<comando_id>,if ( <condicao> ) then begin <sentencas> end <pfalsa>,,,,,,read ( <var_read> ),,repeat <sentencas> until ( <condicao> ),,,,,while ( <condicao> ) do begin <sentencas> end,write ( <var_write> ),,,,,,,
<comando_id>,,,,,,,,,,<id> <tratar_id>,,,,,,,,,,,,,,,,,,,,,,
<tratar_id>,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,:= <expressao>,<argumentos>,,
<argumentos>,,,,,,,,,,,,,,,,,,,,,,,,,,,#,,,( <lista_arg> ),,
<lista_arg>,,,,,,,,,,<expressao> <cont_lista_arg>,,,<expressao> <cont_lista_arg>,,,,,,,,,,,,,,,,,,,
<cont_lista_arg>,,,,,,,,,,,,,,,,,,,,,,,,,,| <lista_arg>,,,,,#,
<condicao>,,,,<boolean2> <cont_exp_bool>,,,,,,<id> <pre_expressao>,,,<intnum> <mais_termo> <relacao> <expressao>,,,,,,,,,,,,,,,,,,,
<pre_expressao>,,,<boolean1> <cont_exp_bool>,,,,,,,,,,,<operador> <termo> <relacao> <expressao>,,,,<relacao> <expressao>,,,,,,,,,,,,,#,
<pfalsa>,,,,,,else begin <sentencas> end,,,,,,,,,,,,,,,,,,,,,#,,,,,
<expressao>,,,,,,,,,,<termo>,,,<termo>,,,,,,,,,,,,,,,,,,,
<termo>,,,,,,,,,,<id> <mais_termo>,,,<intnum> <mais_termo>,,,,,,,,,,,,,,,,,,,
<mais_termo>,,,,,#,,,,,,,,,<operador> <termo>,,,,#,,,#,,,,,#,#,,,,#,
<mais_exp_bool>,,,<boolean1> <cont_exp_bool>,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,
<cont_exp_bool>,,,,<boolean2> <outra_exp_bool>,,,,,,<id> <mais_exp_bool>,,,,,,,,,,,,,,,,,,,,,,
<outra_exp_bool>,,,,<boolean2> <cont_exp_bool>,,,,,,<id> <mais_exp_bool>,,,,,,,,,,,,,,,,,,,,,,
